	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	spk_r4	spk_r5	spk_r6	spk_r7	col_r4	col_r5	col_r6	col_r7	lib_r4	lib_r5	lib_r6	lib_r7
VARIABLES	spk	spk	spk	spk	col	col	col	col	lib	lib	lib	lib
												
spk	.	.	.	.								
	(.)	(.)	(.)	(.)								
	[. - .]	[. - .]	[. - .]	[. - .]								
	.	.	.	.								
	0.324	0.343	0.368	0.387	0.103	0.113	0.138	0.153	0.690	0.659	0.759	0.728
14.relig	0.374	0.392	0.333	0.326	0.442	0.434	0.369	0.404	0.286	0.321	0.252	0.276
	(0.506)	(0.514)	(0.504)	(0.513)	(0.445)	(0.447)	(0.437)	(0.439)	(0.474)	(0.477)	(0.477)	(0.484)
	[-0.617 - 1.366]	[-0.614 - 1.399]	[-0.655 - 1.321]	[-0.679 - 1.331]	[-0.430 - 1.315]	[-0.443 - 1.311]	[-0.487 - 1.226]	[-0.456 - 1.265]	[-0.644 - 1.216]	[-0.614 - 1.256]	[-0.682 - 1.186]	[-0.673 - 1.225]
	0.459	0.445	0.509	0.525	0.320	0.332	0.398	0.357	0.546	0.501	0.597	0.569
15.relig	0.397	0.436	0.429	0.516	1.154	1.175	1.232	1.276	-0.590	-0.681	-0.551	-0.643
	(0.665)	(0.677)	(0.655)	(0.661)	(0.676)	(0.683)	(0.628)	(0.624)	(0.693)	(0.707)	(0.697)	(0.715)
	[-0.907 - 1.701]	[-0.891 - 1.763]	[-0.856 - 1.713]	[-0.780 - 1.812]	[-0.171 - 2.478]	[-0.165 - 2.514]	[0.001 - 2.463]	[0.054 - 2.498]	[-1.947 - 0.768]	[-2.066 - 0.705]	[-1.918 - 0.816]	[-2.045 - 0.759]
	0.550	0.520	0.513	0.435	0.088	0.086	0.050	0.041	0.395	0.335	0.430	0.369
2.educ4	0.393	0.417	0.418	0.457	-0.422	-0.417	-0.379	-0.358	-0.269	-0.268	-0.240	-0.265
	(0.358)	(0.354)	(0.358)	(0.355)	(0.378)	(0.374)	(0.381)	(0.376)	(0.285)	(0.287)	(0.285)	(0.286)
	[-0.308 - 1.093]	[-0.278 - 1.111]	[-0.285 - 1.120]	[-0.238 - 1.152]	[-1.162 - 0.319]	[-1.150 - 0.317]	[-1.126 - 0.367]	[-1.096 - 0.379]	[-0.829 - 0.290]	[-0.830 - 0.294]	[-0.799 - 0.318]	[-0.826 - 0.296]
	0.272	0.239	0.244	0.198	0.264	0.266	0.319	0.341	0.345	0.350	0.399	0.354
3.educ4	0.939	0.976	0.960	1.001	-0.089	-0.096	-0.055	-0.065	0.248	0.235	0.264	0.242
	(0.344)	(0.341)	(0.345)	(0.342)	(0.358)	(0.356)	(0.359)	(0.356)	(0.270)	(0.273)	(0.270)	(0.272)
