	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
	spk_r1	spk_r2	spk_r3	col_r1	col_r2	col_r3	lib_r1	lib_r2	lib_r3
VARIABLES	spk	spk	spk	col	col	col	lib	lib	lib
									
spk	.	.	.						
	(.)	(.)	(.)						
	[. - .]	[. - .]	[. - .]						
	.	.	.						
	[-1.081 - 1.293]	[-1.114 - 1.288]	[-1.118 - 1.303]	[-1.703 - 0.724]	[-1.765 - 0.702]	[-1.766 - 0.739]	[-1.551 - 0.650]	[-1.618 - 0.608]	[-1.591 - 0.571]
	0.861	0.887	0.881	0.429	0.398	0.422	0.422	0.374	0.355
6.income	-0.358	-0.343	-0.326	-0.315	-0.315	-0.351	-0.835	-0.837	-0.803
	(0.591)	(0.598)	(0.598)	(0.583)	(0.599)	(0.614)	(0.571)	(0.581)	(0.565)
	[-1.516 - 0.801]	[-1.515 - 0.830]	[-1.498 - 0.845]	[-1.457 - 0.827]	[-1.488 - 0.859]	[-1.554 - 0.852]	[-1.954 - 0.284]	[-1.977 - 0.302]	[-1.910 - 0.304]
	0.545	0.566	0.585	0.589	0.599	0.567	0.143	0.150	0.155
7.income	-0.262	-0.271	-0.249	-0.143	-0.199	-0.217	-0.372	-0.413	-0.401
	(0.592)	(0.602)	(0.601)	(0.587)	(0.596)	(0.603)	(0.579)	(0.589)	(0.575)
	[-1.423 - 0.899]	[-1.451 - 0.909]	[-1.427 - 0.930]	[-1.293 - 1.008]	[-1.368 - 0.970]	[-1.398 - 0.965]	[-1.507 - 0.764]	[-1.567 - 0.740]	[-1.528 - 0.727]
	0.658	0.653	0.679	0.808	0.739	0.719	0.521	0.482	0.486
8.income	-0.289	-0.360	-0.353	-0.241	-0.347	-0.374	-0.803	-0.767	-0.740
	(0.622)	(0.626)	(0.623)	(0.578)	(0.600)	(0.616)	(0.602)	(0.618)	(0.602)
	[-1.509 - 0.931]	[-1.588 - 0.868]	[-1.574 - 0.868]	[-1.375 - 0.892]	[-1.524 - 0.830]	[-1.581 - 0.833]	[-1.983 - 0.377]	[-1.978 - 0.444]	[-1.921 - 0.440]
	0.642	0.565	0.571	0.676	0.563	0.544	0.182	0.215	0.219
9.income	-0.285	-0.277	-0.288	-0.586	-0.603	-0.618	-1.188	-1.209	-1.173
	(0.592)	(0.601)	(0.599)	(0.562)	(0.583)	(0.594)	(0.552)	(0.564)	(0.548)
	[-1.445 - 0.875]	[-1.454 - 0.900]	[-1.463 - 0.887]	[-1.688 - 0.515]	[-1.746 - 0.541]	[-1.784 - 0.547]	[-2.269 - -0.106]	[-2.314 - -0.103]	[-2.247 - -0.099]
	0.630	0.645	0.631	0.297	0.302	0.298	0.031	0.032	0.032
10.income	-0.017	0.028	0.031	0.123	0.171	0.159	-0.587	-0.578	-0.550
	(0.593)	(0.601)	(0.601)	(0.551)	(0.562)	(0.574)	(0.547)	(0.560)	(0.545)
	[-1.180 - 1.145]	[-1.149 - 1.205]	[-1.146 - 1.209]	[-0.957 - 1.202]	[-0.930 - 1.272]	[-0.966 - 1.285]	[-1.660 - 0.486]	[-1.676 - 0.520]	[-1.618 - 0.518]
	0.977	0.963	0.959	0.824	0.761	0.782	0.283	0.302	0.313
11.income	-0.290	-0.279	-0.261	-0.683	-0.700	-0.705	-0.572	-0.566	-0.568
	(0.582)	(0.591)	(0.591)	(0.556)	(0.573)	(0.583)	(0.566)	(0.577)	(0.562)
	[-1.431 - 0.851]	[-1.438 - 0.879]	[-1.419 - 0.898]	[-1.773 - 0.408]	[-1.822 - 0.422]	[-1.848 - 0.437]	[-1.681 - 0.538]	[-1.698 - 0.565]	[-1.671 - 0.534]
	0.618	0.637	0.659	0.220	0.222	0.226	0.312	0.327	0.312
12.income	-0.201	-0.181	-0.182	-0.129	-0.118	-0.135	-0.716	-0.709	-0.685
	(0.626)	(0.632)	(0.632)	(0.622)	(0.636)	(0.649)	(0.598)	(0.610)	(0.594)
	[-1.427 - 1.025]	[-1.420 - 1.059]	[-1.420 - 1.057]	[-1.349 - 1.090]	[-1.364 - 1.128]	[-1.407 - 1.136]	[-1.887 - 0.456]	[-1.903 - 0.486]	[-1.849 - 0.479]
	0.748	0.775	0.774	0.835	0.853	0.835	0.231	0.245	0.249
